央視,#genre#
4K,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002264
8K,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600156816
1綜合,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv1
2財經,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv2
X3綜藝,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv3
4亞洲,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv4
4歐洲,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctveurope/index.shtml
4美洲,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctvamerica
5體育,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv5
5+體育賽事,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv5plus
6電影,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv6
7國防軍事,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv7
8電視劇,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv8
9紀錄,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctvjilu
10科教,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv10
11戲曲,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv11
12社會與法,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv12
13新聞,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv13
14少兒,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctvchild
15音樂,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv15
X16奧林匹克,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv16
17農業農村,https://raw.githubusercontent.com/Niming-G/Public/refs/heads/main/webview.js?id=https://tv.cctv.com/live/cctv17
