IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.218.204.128,2052,FALSE,HKG,Asia Pacific,Hong Kong,69 ms,27166 kB/s
47.243.5.154,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,18967 kB/s
47.238.6.102,2052,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,18351 kB/s
47.242.171.94,8880,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,17305 kB/s
8.210.89.245,2082,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,16782 kB/s
8.218.178.79,2052,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,15998 kB/s
8.218.65.171,80,FALSE,HKG,Asia Pacific,Hong Kong,69 ms,14412 kB/s
47.76.189.102,8080,FALSE,HKG,Asia Pacific,Hong Kong,67 ms,14316 kB/s
8.217.248.220,2052,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,13994 kB/s
47.76.222.57,80,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,13711 kB/s
8.218.173.78,2052,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,13618 kB/s
8.218.136.25,2086,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,13488 kB/s
8.218.142.253,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,12815 kB/s
8.218.136.25,2052,FALSE,HKG,Asia Pacific,Hong Kong,68 ms,12566 kB/s
47.76.192.24,2082,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,12420 kB/s
47.243.91.58,2052,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,12211 kB/s
47.76.189.102,2052,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,11736 kB/s
47.76.26.26,2052,FALSE,HKG,Asia Pacific,Hong Kong,66 ms,11716 kB/s
47.243.234.9,2052,FALSE,HKG,Asia Pacific,Hong Kong,55 ms,11679 kB/s
8.210.101.157,2082,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,11488 kB/s
8.218.85.128,2086,FALSE,HKG,Asia Pacific,Hong Kong,74 ms,11484 kB/s
8.217.207.60,2052,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,11275 kB/s
8.218.85.128,8080,FALSE,HKG,Asia Pacific,Hong Kong,70 ms,10402 kB/s
8.210.63.130,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,10359 kB/s
8.218.2.181,2052,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,10254 kB/s
47.243.234.9,2086,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,10169 kB/s
47.76.77.103,2052,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,10035 kB/s
47.242.171.94,2052,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,10028 kB/s
47.236.125.62,2082,FALSE,NRT,Asia Pacific,Tokyo,309 ms,4209 kB/s
47.236.125.62,8880,FALSE,NRT,Asia Pacific,Tokyo,306 ms,3865 kB/s
47.236.125.62,8080,FALSE,NRT,Asia Pacific,Tokyo,308 ms,3754 kB/s
47.236.125.62,80,FALSE,NRT,Asia Pacific,Tokyo,295 ms,3737 kB/s
47.236.125.62,2052,FALSE,NRT,Asia Pacific,Tokyo,304 ms,3022 kB/s
47.236.125.62,2086,FALSE,NRT,Asia Pacific,Tokyo,301 ms,2765 kB/s
47.74.155.26,80,FALSE,SIN,Asia Pacific,Singapore,80 ms,15387 kB/s
47.236.17.193,8880,FALSE,SIN,Asia Pacific,Singapore,226 ms,8062 kB/s
47.236.169.164,80,FALSE,SIN,Asia Pacific,Singapore,231 ms,8013 kB/s
47.236.168.17,2052,FALSE,SIN,Asia Pacific,Singapore,220 ms,7753 kB/s
47.236.171.205,2082,FALSE,SIN,Asia Pacific,Singapore,216 ms,7392 kB/s
47.236.170.54,2082,FALSE,SIN,Asia Pacific,Singapore,218 ms,7355 kB/s
8.219.50.180,8880,FALSE,SIN,Asia Pacific,Singapore,216 ms,7354 kB/s
8.222.165.117,80,FALSE,SIN,Asia Pacific,Singapore,227 ms,7283 kB/s
47.237.14.220,8880,FALSE,SIN,Asia Pacific,Singapore,233 ms,7133 kB/s
8.219.50.180,80,FALSE,SIN,Asia Pacific,Singapore,227 ms,7081 kB/s
47.236.253.41,2052,FALSE,SIN,Asia Pacific,Singapore,217 ms,6954 kB/s
47.237.95.146,8080,FALSE,SIN,Asia Pacific,Singapore,224 ms,6949 kB/s
47.236.144.196,2095,FALSE,SIN,Asia Pacific,Singapore,218 ms,6872 kB/s
47.236.75.152,2095,FALSE,SIN,Asia Pacific,Singapore,221 ms,6833 kB/s
47.237.11.182,2095,FALSE,SIN,Asia Pacific,Singapore,219 ms,6810 kB/s
47.236.189.92,8080,FALSE,SIN,Asia Pacific,Singapore,225 ms,6716 kB/s
